user;gender;age;how_tall_in_meters;weight;body_mass_index;x1;y1;z1;x2;y2;z2;x3;y3;z3;x4;y4;z4;class
debora;Woman;46;1,62;75;28,6;-3;92;-63;-23;18;-19;5;104;-92;-150;-103;-147;sitting
debora;Woman;46;1,62;75;28,6;-3;94;-64;-21;18;-18;-14;104;-90;-149;-104;-145;sitting
debora;Woman;46;1,62;75;28,6;-1;97;-61;-12;20;-15;-13;104;-90;-151;-104;-144;sitting
debora;Woman;46;1,62;75;28,6;-2;96;-57;-15;21;-16;-13;104;-89;-153;-103;-142;sitting
debora;Woman;46;1,62;75;28,6;-1;96;-61;-13;20;-15;-13;104;-89;-153;-104;-143;sitting
debora;Woman;46;1,62;75;28,6;-2;95;-62;-14;19;-16;-13;104;-89;-153;-104;-142;sitting
debora;Woman;46;1,62;75;28,6;1;100;-62;-10;22;-12;-13;104;-90;-151;-104;-143;sitting
debora;Woman;46;1,62;75;28,6;-1;97;-63;-13;20;-15;-12;104;-88;-151;-104;-142;sitting
debora;Woman;46;1,62;75;28,6;-1;98;-63;-14;19;-17;-13;104;-90;-152;-103;-144;sitting
debora;Woman;46;1,62;75;28,6;0;98;-61;-11;22;-13;-13;104;-90;-151;-104;-144;sitting
debora;Woman;46;1,62;75;28,6;-1;95;-60;-13;19;-17;-13;105;-89;-150;-104;-144;sitting
debora;Woman;46;1,62;75;28,6;3;100;-59;-10;22;-13;-13;104;-90;-150;-103;-144;sitting
debora;Woman;46;1,62;75;28,6;0;96;-61;-14;20;-15;-12;105;-88;-149;-104;-145;sitting
debora;Woman;46;1,62;75;28,6;0;97;-61;-14;20;-17;-13;104;-90;-149;-104;-146;sitting
debora;Woman;46;1,62;75;28,6;0;97;-60;-13;21;-14;-12;105;-89;-149;-104;-145;sitting
debora;Woman;46;1,62;75;28,6;-1;96;-61;-13;19;-17;-13;104;-89;-149;-106;-145;sitting
debora;Woman;46;1,62;75;28,6;2;99;-60;-10;22;-12;-13;104;-90;-150;-103;-145;sitting
debora;Woman;46;1,62;75;28,6;0;96;-62;-14;20;-15;-12;105;-89;-150;-104;-144;sitting
debora;Woman;46;1,62;75;28,6;0;97;-61;-14;19;-16;-13;105;-89;-148;-102;-146;sitting
debora;Woman;46;1,62;75;28,6;0;98;-63;-12;21;-13;-13;104;-89;-148;-105;-146;sitting
debora;Woman;46;1,62;75;28,6;-1;95;-62;-15;19;-17;-13;104;-89;-144;-105;-143;sitting
debora;Woman;46;1,62;75;28,6;1;99;-62;-11;22;-13;-14;104;-90;-146;-106;-145;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-62;-14;20;-16;-12;105;-88;-154;-108;-138;sitting
debora;Woman;46;1,62;75;28,6;-1;97;-62;-14;19;-17;-13;105;-90;-146;-109;-139;sitting
debora;Woman;46;1,62;75;28,6;1;97;-61;-11;21;-14;-13;104;-90;-148;-112;-142;sitting
debora;Woman;46;1,62;75;28,6;-3;96;-63;-16;19;-17;-13;104;-90;-155;-101;-141;sitting
